Claim 0: |{ |Model, Ensemble-19|, |Emotion, Love|, |Task, emotion detection| }, F1-score, 0.47|
Claim 1: |{ |Model, Ensemble-19|, |Emotion, Love|, |Task, emotion detection| }, Precision, 0.55|
Claim 2: |{ |Model, Ensemble-19|, |Emotion, Love|, |Task, emotion detection| }, Recall, 0.41|
Claim 3: |{ |Model, Ensemble-19|, |Emotion, Love|, |Task, emotion detection| }, Support, 190| 
Claim 4: |{ |Model, Ensemble-19|, |Emotion, Joy|, |Task, emotion detection| }, F1-score, 0.63|
Claim 5: |{ |Model, Ensemble-19|, |Emotion, Joy|, |Task, emotion detection| }, Precision, 0.55|
Claim 6: |{ |Model, Ensemble-19|, |Emotion, Joy|, |Task, emotion detection| }, Recall, 0.74|
Claim 7: |{ |Model, Ensemble-19|, |Emotion, Joy|, |Task, emotion detection| }, Support, 433| 
Claim 8: |{ |Model, Ensemble-19|, |Emotion, Anger|, |Task, emotion detection| }, F1-score, 0.73|
Claim 9: |{ |Model, Ensemble-19|, |Emotion, Anger|, |Task, emotion detection| }, Precision, 0.76|
Claim 10: |{ |Model, Ensemble-19|, |Emotion, Anger|, |Task, emotion detection| }, Recall, 0.70|
Claim 11: |{ |Model, Ensemble-19|, |Emotion, Anger|, |Task, emotion detection| }, Support, 614| 
Claim 12: |{ |Model, Ensemble-19|, |Emotion, Fear|, |Task, emotion detection| }, F1-score, 0.53|
Claim 13: |{ |Model, Ensemble-19|, |Emotion, Fear|, |Task, emotion detection| }, Precision, 0.44|
Claim 14: |{ |Model, Ensemble-19|, |Emotion, Fear|, |Task, emotion detection| }, Recall, 0.68|
Claim 15: |{ |Model, Ensemble-19|, |Emotion, Fear|, |Task, emotion detection| }, Support, 77| 
Claim 16: |{ |Model, Ensemble-19|, |Emotion, Sadness|, |Task, emotion detection| }, F1-score, 0.55|
Claim 17: |{ |Model, Ensemble-19|, |Emotion, Sadness|, |Task, emotion detection| }, Precision, 0.56|
Claim 18: |{ |Model, Ensemble-19|, |Emotion, Sadness|, |Task, emotion detection| }, Recall, 0.54|
Claim 19: |{ |Model, Ensemble-19|, |Emotion, Sadness|, |Task, emotion detection| }, Support, 270| 
Claim 20: |{ |Model, Ensemble-19|, |Emotion, Neutral|, |Task, emotion detection| }, F1-score, 0.72|
Claim 21: |{ |Model, Ensemble-19|, |Emotion, Neutral|, |Task, emotion detection| }, Precision, 0.76|
Claim 22: |{ |Model, Ensemble-19|, |Emotion, Neutral|, |Task, emotion detection| }, Recall, 0.68|
Claim 23: |{ |Model, Ensemble-19|, |Emotion, Neutral|, |Task, emotion detection| }, Support, 916|
