Claim 0: |{ |Method, PAIR|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ASR, 94|
Claim 1: |{ |Method, PAIR|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ANQ, 6.72| 
Claim 2: |{ |Method, PAIR|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ASR, 46|
Claim 3: |{ |Method, PAIR|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ANQ, 19.74| 
Claim 4: |{ |Method, PAIR|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ASR, 64|
Claim 5: |{ |Method, PAIR|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ANQ, 13.25| 
Claim 6: |{ |Method, PAIR|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ASR, 74|
Claim 7: |{ |Method, PAIR|, |LLM, GPT-4-1106-preview|, |Task, jailbreaking| }, ANQ, 9.73| 
Claim 8: |{ |Method, PAIR|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ASR, 94|
Claim 9: |{ |Method, PAIR|, |LLM, Gemini-Pro|, |Task, jailbreaking| }, ANQ, 7.75| 
Claim 10: |{ |Method, PAIR|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ASR, 38|
Claim 11: |{ |Method, PAIR|, |LLM, Claude-3.5-sonnet|, |Task, jailbreaking| }, ANQ, 17.05| 
Claim 12: |{ |Method, TAP|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ASR, 90|
Claim 13: |{ |Method, TAP|, |LLM, Vicuna-7b-v1.5|, |Task, jailbreaking| }, ANQ, 4.58| 
Claim 14: |{ |Method, TAP|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ASR, 48|
Claim 15: |{ |Method, TAP|, |LLM, LLaMa-2-7b-chat-hf|, |Task, jailbreaking| }, ANQ, 13.25| 
Claim 16: |{ |Method, TAP|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ASR, 36|
Claim 17: |{ |Method, TAP|, |LLM, GPT-3.5-turbo-1106|, |Task, jailbreaking| }, ANQ, 9.67| 
