Claim 0: |{|LLM-Backend, GPT-3.5|, |Task, Creative Writing|, |Metric, Coherence Score|}, IO, 6.087|
Claim 1: |{|LLM-Backend, GPT-3.5|, |Task, Creative Writing|, |Metric, Coherence Score|}, CoT, 6.654| 
Claim 2: |{|LLM-Backend, GPT-3.5|, |Task, Creative Writing|, |Metric, Coherence Score|}, ToT, 6.856|
Claim 3: |{|LLM-Backend, GPT-3.5|, |Task, Creative Writing|, |Metric, Coherence Score|}, TP, 7.000|
Claim 4: |{|LLM-Backend, GPT-4|, |Task, Creative Writing|, |Metric, Coherence Score|}, IO, 6.193|
Claim 5: |{|LLM-Backend, GPT-4|, |Task, Creative Writing|, |Metric, Coherence Score|}, CoT, 6.927|
Claim 6: |{|LLM-Backend, GPT-4|, |Task, Creative Writing|, |Metric, Coherence Score|}, ToT, 7.684|
Claim 7: |{|LLM-Backend, GPT-4|, |Task, Creative Writing|, |Metric, Coherence Score|}, TP, 7.989|
Claim 8: |{|LLM-Backend, GPT-3.5|, |Task, Creative Writing|, |Metric, User Study|}, IO, 14|
Claim 9: |{|LLM-Backend, GPT-3.5|, |Task, Creative Writing|, |Metric, User Study|}, CoT, 21|
Claim 10: |{|LLM-Backend, GPT-3.5|, |Task, Creative Writing|, |Metric, User Study|}, ToT, 26|
Claim 11: |{|LLM-Backend, GPT-3.5|, |Task, Creative Writing|, |Metric, User Study|}, TP, 39|
Claim 12: |{|LLM-Backend, GPT-4|, |Task, Creative Writing|, |Metric, User Study|}, IO, 7|
Claim 13: |{|LLM-Backend, GPT-4|, |Task, Creative Writing|, |Metric, User Study|}, CoT, 15|
Claim 14: |{|LLM-Backend, GPT-4|, |Task, Creative Writing|, |Metric, User Study|}, ToT, 33|
Claim 15: |{|LLM-Backend, GPT-4|, |Task, Creative Writing|, |Metric, User Study|}, TP, 45|
