Claim 0: |{|Model, CodeLlama-7B|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, Acc, 54.0|
Claim 1: |{|Model, CodeLlama-7B|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, F1, 37.1|
Claim 2: |{|Model, CodeLlama-7B|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, H@1, 56.0|
Claim 3: |{|Model, CodeLlama-7B|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, MRR, 62.3|
Claim 4: |{|Model, CodeLlama-7B|, |Dataset, Bird|, |Task, discrimination abilities|}, Acc, 44.6|
Claim 5: |{|Model, CodeLlama-7B|, |Dataset, Bird|, |Task, discrimination abilities|}, F1, 46.7|
Claim 6: |{|Model, CodeLlama-7B|, |Dataset, Bird|, |Task, discrimination abilities|}, H@1, 13.0|
Claim 7: |{|Model, CodeLlama-7B|, |Dataset, Bird|, |Task, discrimination abilities|}, MRR, 18.0|
Claim 8: |{|Model, CodeLlama-7B|, |Dataset, GSM8K|, |Task, discrimination abilities|}, Acc, 48.6|
Claim 9: |{|Model, CodeLlama-7B|, |Dataset, GSM8K|, |Task, discrimination abilities|}, F1, 38.7|
Claim 10: |{|Model, CodeLlama-7B|, |Dataset, GSM8K|, |Task, discrimination abilities|}, H@1, 36.2|
Claim 11: |{|Model, CodeLlama-7B|, |Dataset, GSM8K|, |Task, discrimination abilities|}, MRR, 46.9|
Claim 12: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, Acc, 58.2|
Claim 13: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, F1, 37.1|
Claim 14: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, H@1, 57.0|
Claim 15: |{|Model, CodeLlama-13B|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, MRR, 63.1|
Claim 16: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, discrimination abilities|}, Acc, 49.4|
Claim 17: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, discrimination abilities|}, F1, 46.7|
Claim 18: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, discrimination abilities|}, H@1, 12.7|
Claim 19: |{|Model, CodeLlama-13B|, |Dataset, Bird|, |Task, discrimination abilities|}, MRR, 18.3|
Claim 20: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, discrimination abilities|}, Acc, 62.2|
Claim 21: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, discrimination abilities|}, F1, 38.7|
Claim 22: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, discrimination abilities|}, H@1, 41.8|
Claim 23: |{|Model, CodeLlama-13B|, |Dataset, GSM8K|, |Task, discrimination abilities|}, MRR, 51.0|
Claim 24: |{|Model, CodeLlama-7B-FT|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, Acc, 62.4|
Claim 25: |{|Model, CodeLlama-7B-FT|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, F1, 60.3|
Claim 26: |{|Model, CodeLlama-7B-FT|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, H@1, 59.5|
Claim 27: |{|Model, CodeLlama-7B-FT|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, MRR, 64.6|
Claim 28: |{|Model, CodeLlama-7B-FT|, |Dataset, Bird|, |Task, discrimination abilities|}, Acc, 52.4|
Claim 29: |{|Model, CodeLlama-7B-FT|, |Dataset, Bird|, |Task, discrimination abilities|}, F1, 46.7|
Claim 30: |{|Model, CodeLlama-7B-FT|, |Dataset, Bird|, |Task, discrimination abilities|}, H@1, 14.3|
Claim 31: |{|Model, CodeLlama-7B-FT|, |Dataset, Bird|, |Task, discrimination abilities|}, MRR, 19.1|
Claim 32: |{|Model, CodeLlama-7B-FT|, |Dataset, GSM8K|, |Task, discrimination abilities|}, Acc, nan|
Claim 33: |{|Model, CodeLlama-7B-FT|, |Dataset, GSM8K|, |Task, discrimination abilities|}, F1, nan|
Claim 34: |{|Model, CodeLlama-7B-FT|, |Dataset, GSM8K|, |Task, discrimination abilities|}, H@1, nan|
Claim 35: |{|Model, CodeLlama-7B-FT|, |Dataset, GSM8K|, |Task, discrimination abilities|}, MRR, nan|
Claim 36: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, Acc, 69.7|
Claim 37: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, F1, 67.2|
Claim 38: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, H@1, 61.3|
Claim 39: |{|Model, CodeLlama-13B-FT|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, MRR, 65.7|
Claim 40: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, discrimination abilities|}, Acc, 62.1|
Claim 41: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, discrimination abilities|}, F1, 46.7|
Claim 42: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, discrimination abilities|}, H@1, 16.0|
Claim 43: |{|Model, CodeLlama-13B-FT|, |Dataset, Bird|, |Task, discrimination abilities|}, MRR, 20.5|
Claim 44: |{|Model, CodeLlama-13B-FT|, |Dataset, GSM8K|, |Task, discrimination abilities|}, Acc, nan|
Claim 45: |{|Model, CodeLlama-13B-FT|, |Dataset, GSM8K|, |Task, discrimination abilities|}, F1, nan|
Claim 46: |{|Model, CodeLlama-13B-FT|, |Dataset, GSM8K|, |Task, discrimination abilities|}, H@1, nan|
Claim 47: |{|Model, CodeLlama-13B-FT|, |Dataset, GSM8K|, |Task, discrimination abilities|}, MRR, nan|
Claim 48: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, Acc, 67.0|
Claim 49: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, F1, 47.3|
Claim 50: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, H@1, 59.0|
Claim 51: |{|Model, GPT-3.5-Turbo|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, MRR, 64.3|
Claim 52: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, discrimination abilities|}, Acc, 64.3|
Claim 53: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, discrimination abilities|}, F1, 35.7|
Claim 54: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, discrimination abilities|}, H@1, 16.0|
Claim 55: |{|Model, GPT-3.5-Turbo|, |Dataset, Bird|, |Task, discrimination abilities|}, MRR, 20.5|
Claim 56: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, discrimination abilities|}, Acc, 72.1|
Claim 57: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, discrimination abilities|}, F1, 49.1|
Claim 58: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, discrimination abilities|}, H@1, 46.6|
Claim 59: |{|Model, GPT-3.5-Turbo|, |Dataset, GSM8K|, |Task, discrimination abilities|}, MRR, 54.0|
Claim 60: |{|Model, GPT-4-Turbo|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, Acc, 76.5|
Claim 61: |{|Model, GPT-4-Turbo|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, F1, 54.9|
Claim 62: |{|Model, GPT-4-Turbo|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, H@1, 63.0|
Claim 63: |{|Model, GPT-4-Turbo|, |Dataset, Spider|, |Task, text-to-SQL parsing|}, MRR, 66.7|
Claim 64: |{|Model, GPT-4-Turbo|, |Dataset, Bird|, |Task, discrimination abilities|}, Acc, 76.2|
