Claim 0: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, Vicuna-7b-v1.5|}, ASR, 94|
Claim 1: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, Vicuna-7b-v1.5|}, ANQ, 6.72|
Claim 2: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, LLaMa-2-7b-chat-hf|}, ASR, 46|
Claim 3: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, LLaMa-2-7b-chat-hf|}, ANQ, 19.74|
Claim 4: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, GPT-3.5-turbo-1106|}, ASR, 64|
Claim 5: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, GPT-3.5-turbo-1106|}, ANQ, 13.25|
Claim 6: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, GPT-4-1106-preview|}, ASR, 74|
Claim 7: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, GPT-4-1106-preview|}, ANQ, 9.73|
Claim 8: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, Gemini-Pro|}, ASR, 94|
Claim 9: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, Gemini-Pro|}, ANQ, 7.75|
Claim 10: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, Claude-3.5-sonnet|}, ASR, 38|
Claim 11: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAIR|, |Model, Claude-3.5-sonnet|}, ANQ, 17.05|
Claim 12: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, Vicuna-7b-v1.5|}, ASR, 90|
Claim 13: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, Vicuna-7b-v1.5|}, ANQ, 4.58|
Claim 14: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, LLaMa-2-7b-chat-hf|}, ASR, 48|
Claim 15: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, LLaMa-2-7b-chat-hf|}, ANQ, 13.25|
Claim 16: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, GPT-3.5-turbo-1106|}, ASR, 36|
Claim 17: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, GPT-3.5-turbo-1106|}, ANQ, 9.67|
Claim 18: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, GPT-4-1106-preview|}, ASR, 62|
Claim 19: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, GPT-4-1106-preview|}, ANQ, 9.36|
Claim 20: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, Gemini-Pro|}, ASR, 86|
Claim 21: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, Gemini-Pro|}, ANQ, 6.21|
Claim 22: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, Claude-3.5-sonnet|}, ASR, 22|
Claim 23: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, TAP|, |Model, Claude-3.5-sonnet|}, ANQ, 13|
Claim 24: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, Vicuna-7b-v1.5|}, ASR, 94|
Claim 25: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, Vicuna-7b-v1.5|}, ANQ, 4.15|
Claim 26: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, LLaMa-2-7b-chat-hf|}, ASR, 58|
Claim 27: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, LLaMa-2-7b-chat-hf|}, ANQ, 13.86|
Claim 28: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, GPT-3.5-turbo-1106|}, ASR, 58|
Claim 29: |{|task, Jailbreak general-use LLMs|, |query_budget, 40|, |Method, PAP|, |Model, GPT-3.5-turbo-1106|}, ANQ, 9.1|
